millis,datetime,lon,lat,ax,ay,az,temp,pres
232646,,,,515,503,617,,
233340,,,,516,503,617,,
234346,,,,,,,20.46,1040.10
234547,,,,515,503,616,,
235366,,,,515,503,616,,
236341,,,,,,,20.45,1042.10
236537,,,,515,503,616,,
237340,,,,515,503,617,,
238336,,,,,,,20.46,1042.10
238534,,,,515,503,617,,
239325,,,,515,503,617,,
240410,,,,,,,20.46,1043.50
240607,,,,515,503,617,,
241317,,,,515,503,617,,
242325,,,,,,,20.46,1045.60
242526,,,,515,503,617,,
243324,,,,515,503,616,,
244318,,,,,,,20.46,1041.40
244518,,,,515,503,617,,
245340,,,,515,503,617,,
246321,,,,,,,20.46,1044.20
246503,,,,515,503,617,,
247310,,,,515,503,617,,
248320,,,,,,,20.46,1043.50
248520,,,,515,503,617,,
249298,,,,515,503,617,,
250335,,,,,,,20.45,1039.40
250535,,,,515,503,617,,
251293,,,,515,503,617,,
252309,,,,,,,20.45,1042.80
252510,,,,515,503,617,,
253288,,,,515,503,617,,
254294,,,,,,,20.45,1042.80
254494,,,,515,503,617,,
255301,,,,515,503,617,,
256296,,,,,,,20.44,1043.50
256497,,,,515,503,617,,
257277,,,,515,503,617,,
258281,,,,,,,20.44,1042.10
258572,,,,515,503,617,,
259282,,,,515,503,617,,
260296,,,,,,,20.44,1043.50
260499,,,,515,503,617,,
261337,,,,515,503,617,,
262270,,,,,,,20.44,1041.40
262473,,,,515,503,617,,
263262,,,,515,503,617,,
264267,,,,,,,20.45,1039.40
264468,,,,516,503,617,,
265277,,,,515,503,617,,
266270,,,,,,,20.45,1045.60
266473,,,,515,503,617,,
267249,,,,516,503,617,,
268267,,,,,,,20.45,1044.90
268468,,,,515,503,617,,
269244,,,,515,503,617,,
270282,,,,,,,20.44,1041.40
270481,,,,516,503,617,,
271249,,,,515,502,616,,
272246,,,,,,,20.43,1044.20
272429,,,,515,503,616,,
273233,,,,515,503,616,,
274239,,,,,,,20.43,1040.80
274440,,,,515,503,617,,
275249,,,,515,503,616,,
276246,,,,,,,20.44,1044.20
276445,,,,515,503,617,,
277223,,,,515,503,617,,
278247,,,,,,,20.43,1042.10
278446,,,,515,503,617,,
279228,,,,515,503,616,,
280244,,,,,,,20.43,1042.80
280455,,,,515,503,617,,
281223,,,,515,503,617,,
282279,,,,,,,20.43,1040.80
282476,,,,515,503,617,,
283207,,,,515,503,617,,
284223,,,,,,,20.43,1042.10
284422,,,,515,503,617,,
285222,,,,515,503,617,,
286218,,,,,,,20.43,1042.80
286414,,,,515,503,617,,
287197,,,,515,503,617,,
288212,,,,,,,20.43,1042.10
288409,,,,515,503,616,,
289202,,,,515,503,617,,
290228,,,,,,,20.43,1040.80
290424,,,,515,503,617,,
291186,,,,515,503,617,,
292202,,,,,,,20.42,1044.90
292399,,,,516,503,617,,
293181,,,,515,503,617,,
294197,,,,,,,20.42,1040.80
294395,,,,515,503,617,,
295194,,,,515,503,617,,
296192,,,,,,,20.41,1043.50
296388,,,,516,503,617,,
297170,,,,515,503,617,,
298176,,,,,,,20.42,1041.40
298356,,,,516,503,617,,
299175,,,,515,503,617,,
300191,,,,,,,20.42,1042.10
300390,,,,515,503,617,,
301170,,,,515,503,617,,
302166,,,,,,,20.43,1043.50
302362,,,,515,503,617,,
303204,,,,515,503,617,,
304160,,,,,,,20.43,1040.10
304361,,,,516,503,617,,
305180,,,,515,503,617,,
306155,,,,,,,20.42,1042.80
306352,,,,515,503,617,,
307154,,,,516,503,617,,
308166,,,,,,,20.42,1043.50
308367,,,,515,503,617,,
309145,,,,515,503,617,,
310165,,,,,,,20.42,1043.50
310362,,,,515,503,617,,
311144,,,,515,503,617,,
312139,,,,,,,20.41,1042.80
312340,,,,515,503,617,,
313139,,,,515,503,617,,
314132,,,,,,,20.43,1044.20
314331,,,,515,503,616,,
315152,,,,515,503,617,,
316127,,,,,,,20.41,1042.80
316327,,,,515,503,616,,
317118,,,,515,503,617,,
318124,,,,,,,20.41,1041.40
318320,,,,515,503,617,,
319113,,,,515,503,617,,
320147,,,,,,,20.41,1042.80
320346,,,,515,503,617,,
321116,,,,515,503,617,,
322123,,,,,,,20.41,1042.80
322322,,,,515,503,616,,
323112,,,,515,503,617,,
324167,,,,,,,20.41,1043.50
324446,,,,515,503,616,,
325124,,,,516,503,617,,
326113,,,,,,,20.41,1042.80
326311,,,,515,503,617,,
327102,,,,515,503,617,,
328108,,,,,,,20.42,1043.50
328306,,,,515,503,617,,
329095,,,,515,503,617,,
330131,,,,,,,20.41,1040.10
330330,,,,515,503,617,,
331081,,,,516,503,617,,
332087,,,,,,,20.40,1041.40
332288,,,,515,503,617,,
333074,,,,515,503,617,,
334082,,,,,,,20.39,1042.10
334280,,,,515,503,617,,
335099,,,,515,503,616,,
336087,,,,,,,20.41,1043.50
336285,,,,515,503,616,,
337082,,,,515,503,617,,
338077,,,,,,,20.40,1041.40
338274,,,,515,502,617,,
339077,,,,515,503,617,,
340094,,,,,,,20.39,1041.50
340293,,,,515,503,617,,
341065,,,,515,503,617,,
342071,,,,,,,20.38,1044.20
342269,,,,515,503,617,,
343060,,,,515,503,617,,
344066,,,,,,,20.39,1042.10
344264,,,,515,503,617,,
345133,,,,515,503,617,,
346058,,,,,,,20.39,1043.50
346257,,,,515,503,617,,
347049,,,,515,503,617,,
348055,,,,,,,20.38,1047.70
348254,,,,515,503,617,,
349044,,,,515,503,617,,
350081,,,,,,,20.38,1042.10
350361,,,,515,503,617,,
351029,,,,515,503,617,,
352036,,,,,,,20.37,1041.50
352237,,,,515,503,617,,
353026,,,,515,503,617,,
354045,,,,,,,20.37,1042.80
354246,,,,515,503,617,,
355051,,,,515,503,617,,
356038,,,,,,,20.37,1040.10
356237,,,,515,503,616,,
357015,,,,515,503,617,,
358031,,,,,,,20.38,1043.50
358232,,,,515,503,617,,
359010,,,,515,503,617,,
360056,,,,,,,20.37,1040.80
